DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2012,16593890,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2013,16393369,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2014,16259490,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2015,16179377,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2016,16064508,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2017,16041852,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2018,16004503,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2019,16035165,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2020,16041202,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2021,16098748,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,01/01/2022,16131414,,,,,,,,,
